,Features,Importance
439,MDEC-23,0.224832593
10,nC,0.057285598
54,C1SP2,0.048371095
249,minHsOH,0.032946718
286,minsOH,0.02504505
419,nHBAcc,0.022610998
354,maxssO,0.015924613
22,ATSc3,0.013506204
243,minHBint5,0.012951506
39,BCUTc-1h,0.010738955
445,MDEO-12,0.009869357
283,minsssN,0.0093601
453,MLFER_A,0.009325849
441,MDEC-33,0.009201016
77,VC-5,0.00752055
391,ETA_Shape_Y,0.006969287
248,minHBint10,0.006324961
183,SHsOH,0.005752934
182,SHBint10,0.00559577
1,ALogP,0.005396049
